name,# tweets retweeted,last tweet retweeted
@AvecStupide,1,RT @EnviroStudent: @JoshMeadows3 Nats starting to wake up to the fact their constituency is farmers not mining corporations
@looksouth,1,RT @looksouth: #WorldHeritage Committee  #tasforestsdelisting bid thrown out rapidly.
@BVClimateGirl,1,RT @BVClimateGirl: Better that tax payers support charity status of community organisations than subsidize fossil fuel industry #abc730 #au
@lisadekleyn,1,"RT @lisadekleyn: ""The times we live in are full of myth and light on fact."" @david_manne  #myworldheritage"
@BYolandebrown,1,RT @BYolandebrown: Peter Rawlinson Conservation Award https://t.co/rjDjSdKzK2 via @AusConservation
@BabsABCmining,1,RT @BabsABCmining: Muckaty nuclear waste proposal in Federal Court today - ABC Rural (Australian Broadcasting Corporation): http://t.co/90Y
@BatemanDan,1,"RT @BatemanDan: Terrible, terrible news. Great Barrier Reef campaigner Felicity Wishart has died suddenly. The Reef has lost a very passion"
@leitchbird,1,"RT @leitchbird: @ABCenvironment @sheena10628002 @aviceda @TSCommissioner 31,800 ha clearing on Olive Vale St CY threatens Red Goshawk http:"
@lee_glend,1,RT @lee_glend: How Barack Obama and Tony Abbott differ on climate change http://t.co/m5LLbQsSDQ
@latikambourke,1,RT @latikambourke: President Obama - this week we took historic steps in the fight against climate change. #G20
@BelyndaZ,1,RT @BelyndaZ: Senate abolishes working price on pollution. I'll fight for climate action! http://t.co/TsoPsNTITs #yourchoiceourfuture @AusC
@kymmidd,1,"RT @kymmidd: Mary Graham: 'If we were running actual Aboriginal affairs, we'd have a consensus on how to protect nature' #iq2oz @ethics_cen"
@jayjaydevine,1,"RT @jayjaydevine: Priorities for Queensland: a healthy environment, not massive coal mines http://t.co/x1SKadJVTE via @AusConservation"
@kuminaidoo,1,"RT @kuminaidoo: BREAKING: Pacific island nation, Kiribati, call for an end to all new coal mines. http://t.co/NT76E3JcJX http://t.co/ojBo6O"
@m_onicatan,1,RT @m_onicatan: Sounded like a truly great man &gt; Landcare co-founder and native title lawyer Phillip Toyne dies at 67 http://t.co/p3P8a0r0qm
@knittingnannasT,1,RT @knittingnannasT: What an inspiration speech by Geoffrey Cousins. Thank you. Join us on the road less travelled @ausconservation  https:
@BenLang44,1,"RT @BenLang44: Is this the end for Wollongong Coal? Mining suspended at Russell Vale, put into 'care and maintenance' mode. Story: http://t"
@BrentLukey,1,"RT @BrentLukey: Reminder the 'Heartland' book launch is tonight 6.15pm Readings Carlton. Come along, would be great to see you. B https://t"
@itisup2usnow,1,RT @itisup2usnow: Without groups like @350Australia @market_forces and @FoEAustralia my daughters future looks grim #friendofFoe http://t.c
@janet_rice,1,"RT @janet_rice: Solar &amp; wind = clean energy
Burning our native forests = no way

Ad in @canberratimes says it all.
#ForestRET @GetUp http:/"
@eilperin,1,RT @eilperin: New poll from @washingtonpost @abcnews 70% of Americans want EPA to regulate carbon &amp; are even willing to pay for it: http://
@envirotas,1,RT @envirotas: What would life be without forests? We need them Abbott! #MyWorldHeritage http://t.co/K09VxZRc1o
@ChristopherWr11,1,RT @ChristopherWr11: Wow - big interview with Geoff Cousins from @AusConservation naming the Top 10 carbon polluters in Aust on @lateline -
@CityLab,1,RT @CityLab: People are writing thousands of emails to trees http://t.co/atnwFNq9ds via @TheAtlantic http://t.co/st9Ec6GvY8
@emilyhwilson,1,"RT @emilyhwilson: Tony Abbott says he's a conservationist. The evidence indicates the opposite, writes our political ed Lenore Taylor http:"
@emilyalaurence,1,RT @emilyalaurence: Russell Vale colliery expansion neither rejected or approved. PAC says not confident re risks more work needed @973ABCI
@emgayfs,1,"RT @little_oldlady: Environmental NGOs do not attack jobs, they ensure the long term stability of the economy #auspol #abc730 #FriendOfFoE"
@ellensandell,1,RT @ellensandell: Here's our media statement regarding Nationals change of position on fracking http://t.co/694OFWWZ4R
@elisejourno,1,"RT @elisejourno: Much love from Environment Minister Greg Hunt today. ""I love large-scale solar and I love renewable energy."""
@ClareCLegit,1,RT @ClareCLegit: The latest habitat magazine by @AusConservation is choc full of #climate news. Bravo!   http://t.co/ex7cGInvHe http://t.
